radius,slot,dist_km,plain,decrypted
10.0,15685,4.070379948063401,1,0.9999999995991252
10.0,8755,4.070379948063401,1,0.9999999983704377
10.0,10051,4.070379948063401,1,1.0000000000878908
10.0,6583,4.070379948063401,1,0.9999999992513169
10.0,4382,4.070379948063401,1,1.0000000000415668
10.0,14941,4.070379948063401,1,0.9999999994475305
10.0,10987,4.070379948063401,1,1.000000000435325
10.0,506,4.070379948063401,1,1.0000000003516518
10.0,2554,6.262313927430596,1,0.9999999999450359
10.0,13624,6.262313927430596,1,0.9999999994738071
10.0,21137,7.471491323945595,1,0.9999999994692295
10.0,21727,12.760285368269132,0,3.3753050354690117e-10
10.0,22028,17.392615667541104,0,-1.3492540418269527e-10
10.0,22113,24.655931973646123,0,-3.030711237528294e-10
10.0,0,517.7953016812207,0,-2.4349111615862284e-10
10.0,1,517.7953016812207,0,-2.1804708039141474e-10
