dataset,radius,slot,step_input,he_output,dist_km
k5_jellybean,0.2,505,-2.4472314571043905e-05,3.478003005741551e-10,4.380600384305171
k5_jellybean,0.2,506,-2.4472314571043905e-05,-1.2910752158530669e-11,4.380600384305171
k5_jellybean,0.2,507,-2.4472314571043905e-05,9.183288117236749e-11,4.380600384305171
k5_jellybean,0.2,508,-2.4472314571043905e-05,6.592824700390034e-10,4.380600384305171
k5_jellybean,0.2,509,-2.4472314571043905e-05,-1.0696982873043994e-10,4.380600384305171
k5_jellybean,0.2,510,-2.4472314571043905e-05,-9.699232208060397e-10,4.380600384305171
k5_jellybean,0.2,511,-2.4472314571043905e-05,4.792200880530061e-10,4.380600384305171
k5_jellybean,0.2,512,-2.4472314571043905e-05,-1.1553614691664755e-09,4.380600384305171
k5_jellybean,0.2,513,-2.4472314571043905e-05,5.959434750511909e-10,4.380600384305171
k5_jellybean,0.2,514,-2.4472314571043905e-05,1.1394322442350189e-09,4.380600384305171
k5_jellybean,0.2,515,-2.4472314571043905e-05,6.517923934611287e-10,4.380600384305171
k5_jellybean,0.2,516,-2.4472314571043905e-05,4.15146922103578e-10,4.380600384305171
k5_jellybean,0.2,517,-2.4472314571043905e-05,6.920894428574599e-10,4.380600384305171
k5_jellybean,0.2,518,-2.4472314571043905e-05,2.4491206171930215e-10,4.380600384305171
k5_jellybean,0.2,519,-2.4472314571043905e-05,4.637664050243848e-10,4.380600384305171
k5_jellybean,0.2,520,-2.4472314571043905e-05,3.401634130350511e-10,4.380600384305171
k5_jellybean,0.2,521,-2.4472314571043905e-05,3.482267716381914e-10,4.380600384305171
k5_jellybean,0.2,522,-2.4472314571043905e-05,9.685644684448453e-10,4.380600384305171
k5_jellybean,0.2,523,-2.4472314571043905e-05,3.973474691792567e-10,4.380600384305171
k5_jellybean,0.2,524,-2.4472314571043905e-05,2.624102707109913e-10,4.380600384305171
k5_jellybean,0.2,525,-2.4472314571043905e-05,6.964091942982862e-10,4.380600384305171
k5_jellybean,0.2,526,-2.4472314571043905e-05,2.7451959287470216e-10,4.380600384305171
k5_jellybean,0.2,527,-2.4472314571043905e-05,3.4243885727601855e-10,4.380600384305171
k5_jellybean,0.2,528,-2.4472314571043905e-05,-4.0695330843634123e-10,4.380600384305171
k5_jellybean,0.2,529,-2.4472314571043905e-05,6.030863813769469e-11,4.380600384305171
k5_jellybean,0.2,530,-2.4472314571043905e-05,8.150538807369599e-10,4.380600384305171
k5_jellybean,0.2,531,-2.4472314571043905e-05,1.7211463146003655e-09,4.380600384305171
k5_jellybean,0.2,532,-2.4472314571043905e-05,3.4433515849417526e-11,4.380600384305171
k5_jellybean,0.2,533,-2.4472314571043905e-05,-7.773192647860914e-10,4.380600384305171
k5_jellybean,0.2,534,-2.4472314571043905e-05,4.566809670087247e-10,4.380600384305171
k5_jellybean,0.2,535,-2.4472314571043905e-05,3.299846061176583e-10,4.380600384305171
k5_jellybean,0.2,537,-2.4472314571043905e-05,-4.4896454717884776e-11,4.380600384305171
k5_jellybean,0.2,539,-2.4472314571043905e-05,1.1312774213894127e-09,4.380600384305171
k5_jellybean,0.2,541,-2.4472314571043905e-05,6.000548216054354e-10,4.380600384305171
k5_jellybean,0.2,543,-2.4472314571043905e-05,1.2742315506335992e-10,4.380600384305171
k5_jellybean,0.2,545,-2.4472314571043905e-05,3.433340940144657e-10,4.380600384305171
k5_jellybean,0.2,547,-2.4472314571043905e-05,1.3590720868305177e-10,4.380600384305171
k5_jellybean,0.2,549,-2.4472314571043905e-05,4.808275118359065e-10,4.380600384305171
k5_jellybean,0.2,551,-2.4472314571043905e-05,-2.854380751933598e-10,4.380600384305171
k5_jellybean,0.2,553,-2.4472314571043905e-05,2.336951647220422e-10,4.380600384305171
k5_jellybean,0.2,555,-2.4472314571043905e-05,-8.506193855240387e-10,4.380600384305171
k5_jellybean,0.2,557,-2.4472314571043905e-05,2.0635503541027497e-10,4.380600384305171
k5_jellybean,0.2,559,-2.4472314571043905e-05,1.3446167282939007e-09,4.380600384305171
k5_jellybean,0.2,561,-2.4472314571043905e-05,3.319858051302711e-10,4.380600384305171
k5_jellybean,0.2,563,-2.4472314571043905e-05,2.965558711600825e-11,4.380600384305171
k5_jellybean,0.2,565,-2.4472314571043905e-05,3.912382127343949e-10,4.380600384305171
k5_jellybean,0.2,567,-2.4472314571043905e-05,3.9546643746825103e-10,4.380600384305171
k5_jellybean,0.2,569,-2.4472314571043905e-05,4.534182236045001e-10,4.380600384305171
k5_jellybean,0.2,570,-2.4472314571043905e-05,2.4790032545058347e-10,4.380600384305171
