dataset,radius,slot,dist_km,plain,decrypted
k5_kitkat,1.0,1196,56.319647110767455,0,6.283441824237694e-10
k5_kitkat,1.0,2960,149.65183800739752,0,-9.142040962158267e-10
k5_kitkat,1.0,2965,149.65183800739752,0,-5.103521756120552e-10
k5_kitkat,1.0,1212,160.63315431444488,0,-6.674237812227198e-10
k5_kitkat,1.0,1285,161.12073149233893,0,-5.913790509429479e-10
k5_kitkat,1.0,1274,161.13088292827368,0,-8.050635945908952e-11
k5_kitkat,1.0,1434,161.13217815199386,0,-8.972987205486725e-10
k5_kitkat,1.0,1436,161.13217815199386,0,2.439449940428571e-10
k5_kitkat,1.0,1469,161.13888763510175,0,-6.671605053248445e-10
k5_kitkat,1.0,1559,161.25334783696044,0,-5.125880777264416e-11
k5_kitkat,1.0,1295,161.45818193108852,0,3.1769012310246676e-10
k5_kitkat,1.0,1321,161.58348936223618,0,6.272846222616504e-12
k5_kitkat,1.0,1356,161.64507497029015,0,2.4676337745576443e-10
k5_kitkat,1.0,2236,163.31561600939582,0,-5.880644664416664e-10
k5_kitkat,1.0,2281,163.48428660718577,0,-6.106479116984314e-10
k5_kitkat,1.0,2562,164.79620866653784,0,2.5386894364486183e-11
k5_kitkat,1.0,2535,164.95175122326265,0,6.200011101853057e-10
k5_kitkat,1.0,1783,164.95640938244406,0,4.1891612397846833e-10
k5_kitkat,1.0,1748,164.9726151381024,0,-3.384128458117157e-11
k5_kitkat,1.0,2402,165.14297248639346,0,6.092831492498744e-10
k5_kitkat,1.0,2660,166.66299215175732,0,6.02025341088244e-10
k5_kitkat,1.0,2646,166.66299215175732,0,8.097660373939177e-10
k5_kitkat,1.0,2623,166.71201384608878,0,1.4533773592508041e-10
k5_kitkat,1.0,0,530.7628267484527,0,-2.963081721602567e-10
k5_kitkat,1.0,1,530.7628267484527,0,-4.599296144044364e-10
k5_kitkat,2.0,5104,0.0,1,0.9999999980960345
k5_kitkat,2.0,4,0.4409954260355939,1,1.0000000003439244
k5_kitkat,2.0,6668,0.47364704428899806,1,1.0000000002599074
k5_kitkat,2.0,3686,0.6532164191039603,1,1.0000000005174066
k5_kitkat,2.0,6621,0.6860880309594772,1,0.9999999999322349
k5_kitkat,2.0,3953,0.694041173379335,1,0.9999999990571584
k5_kitkat,2.0,4158,0.6951084798909942,1,0.9999999996379787
k5_kitkat,2.0,4152,0.6951084798909942,1,0.9999999991820994
k5_kitkat,2.0,4162,0.8009906632840168,1,1.000000000476259
k5_kitkat,2.0,4147,2.7293503042522875,0,-6.846251430400725e-10
k5_kitkat,2.0,6208,6.696800071541991,0,-1.416889677112224e-10
k5_kitkat,2.0,3576,7.164848777231444,0,-5.1049038825575386e-11
k5_kitkat,2.0,4142,12.38977210253078,0,-2.6069122905502417e-10
k5_kitkat,2.0,4800,27.737444092285553,0,-1.65336286910478e-10
k5_kitkat,2.0,4714,28.08202447419198,0,2.8850031728215124e-10
k5_kitkat,2.0,1191,56.319647110767455,0,2.4272391716882893e-10
k5_kitkat,2.0,1199,56.319647110767455,0,8.540085768999329e-10
k5_kitkat,2.0,1196,56.319647110767455,0,5.398935727368646e-10
k5_kitkat,2.0,2960,149.65183800739752,0,1.201647305025809e-09
k5_kitkat,2.0,2965,149.65183800739752,0,-6.232051984809748e-10
k5_kitkat,2.0,1212,160.63315431444488,0,-1.4946884191349414e-10
k5_kitkat,2.0,1285,161.12073149233893,0,-1.2981867920206956e-10
