radius,slot,step_input,he_output,dist_km
0.5,254,-0.0023638395311463005,1.953005050899194e-11,43.01117924354588
0.5,256,-0.002430805236142645,3.0882134543870534e-11,43.61607966576149
0.5,258,-0.0023638395311463005,-9.708845425050135e-10,43.01117924354588
0.5,260,-0.002430805236142645,8.45458019504228e-11,43.61607966576149
0.5,262,-0.0023638395311463005,-1.0567478173413814e-09,43.01117924354588
0.5,264,-0.002430805236142645,-1.3594618647587573e-10,43.61607966576149
0.5,266,-0.0023638395311463005,-2.956736169235226e-10,43.01117924354588
0.5,268,-0.002430805236142645,5.843117472056089e-10,43.61607966576149
0.5,270,-0.0023638395311463005,-5.114692953420673e-10,43.01117924354588
0.5,272,-0.002430805236142645,-3.527535483211651e-10,43.61607966576149
0.5,274,-0.0023638395311463005,-9.74573109050164e-12,43.01117924354588
0.5,276,-0.002430805236142645,-1.9929851496563284e-10,43.61607966576149
